PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Mobility left	Mobility	Mobility right	CCS	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference CCS	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	CCS matched	m/z matched	MS/MS matched	RT similarity	CCS similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
67	Unknown	14	0.12825	0.6389167	1.110367	-1	-1	-1	-1	281.31	1149.667	10276.47		[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	22.99333	281.23456:760 281.24615:13413 282.25034:2302 283.26212:10544 284.26404:1731	
68	Unknown	87	0.12825	0.6389167	1.110367	20.8029	21.52439	22.36613	174.8233	281.31	1126.667	30482.89	281.246	[M-H]-	M + 0		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	22.53333	281.23456:133 281.24615:2036 282.25034:391 283.26212:744 284.26404:64	281.23499:323 281.246:7726 282.25:1638
69	Unknown	14	0.08901667	0.6389167	1.464117	-1	-1	-1	-1	282.2503	4897	55581.16		[M-H]-	M + 1	isotope of 32	null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	97.94	282.25034:2302 283.26212:10544 284.26404:1731	
70	Unknown	87	0.08901667	0.6389167	1.464117	20.68266	21.52439	22.60662	174.7969	282.2503	3849	126076.5	281.246	[M-H]-	M + 1		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	76.98	282.25034:391 283.26212:744 284.26404:64	255.224:4 281.23499:323 281.246:7736 282.25:1680 284.26401:70
71	w/o MS2:Stearic acid	14	0.482	0.6389167	1.110367	-1	-1	-1	-1	283.2621	20551.33	258806.5		[M-H]-	M + 0		null	null	283.26425	C18H36O2	Long-chain fatty acids	QIQXTHQIDYTFRH-UHFFFAOYSA-N	O=C(O)CCCCCCCCCCCCCCCCC	530	True	True	True	False	null	97.4	null	null	null	63.5	408.5267	283.26212:10544 284.26404:1731	
72	w/o MS2:Stearic acid	89	0.482	0.6389167	1.110367	20.8029	21.76489	23.08762	176.7209	283.2621	15783.67	542175.5	236.106	[M-H]-	M + 0		null	179.017	283.26425	C18H36O2	Long-chain fatty acids	QIQXTHQIDYTFRH-UHFFFAOYSA-N	O=C(O)CCCCCCCCCCCCCCCCC	510	True	True	True	False	null	97.4	null	null	null	63.5	315.6733	283.26212:1737 284.26404:248 285.26776:61	153.09399:54 220.147:1493 221.153:4556 236.095:866 236.106:3643 283.26199:5149 284.26401:771
73	Unknown	14	0.482	0.6389167	1.1496	-1	-1	-1	-1	284.264	3338	38501.81		[M-H]-	M + 1	isotope of 35	null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	66.76	284.26404:1731	
74	Unknown	89	0.482	0.6389167	1.1496	20.92315	21.76489	22.72687	176.6929	284.264	2504.667	84463.41	236.106	[M-H]-	M + 1		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	50.09333	284.26404:248 285.26776:61	153.09399:54 220.147:2334 221.153:4514 236.095:866 236.106:3623 281.246:1251 283.26199:5096 284.26401:805
75	Unknown	14	0.08901667	0.6389167	1.30685	-1	-1	-1	-1	285.2678	509	3800.177		[M-H]-	M + 2	isotope of 35	null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	10.18		
76	Unknown	90	0.08901667	0.6389167	1.30685	21.0434	21.88514	22.84712	177.6408	285.2678	396	11623.17	236.106	[M-H]-	M + 2		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	7.92	285.26776:55	153.09399:54 220.147:2334 221.153:4514 222.15199:473 236.106:3554 255.23:216 269.12:48 283.25:334 283.26199:5307 284.26401:840
77	Unknown	14	0.4427667	0.6389167	1.071133	-1	-1	-1	-1	298.2439	401.6667	3147.22		[M-H]-	M + 1	isotope of 100	null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	8.033334	299.25403:460	
78	Unknown	90	0.4427667	0.6389167	1.071133	21.16365	21.88514	22.60662	177.2949	298.2439	381	9408.201	236.106	[M-H]-	M + 1		null	null	null	null	null	null	null	999	False	False	False	False	null	null	null	null	null	null	7.62		153.09399:54 220.147:2334 221.153:6 222.15199:473 236.106:3623 269.12:48 281.246:1276 283.25:334 283.26199:5096 284.26401:736 299.254:163
