"PrecursorName.Replicate","PrecursorName","Label","DIA.cosSim","DIA.RTdiffSd","DIA.RTdiffMean","DIA.FWHMdiffSd","DIA.FWHMdiffMean","DIA.MassErrorSd","DIA.MassErrorMean","PeakDecoderScore","featTarget","Total.Area","Precursor.Mz","Precursor.SignalToNoise","CountFragments"
"raw20619.Apseud_SF42_IMS_09_09_20V_25Aug20","raw20619","target",0.996378010424741,0.039327683210007,0.00666666666666667,0.0278687399547713,-0.0216666666666667,22.4825636142026,4.58333333333333,0.996946663877999,20619,93975,371.97479,18509,6
"raw20619.Apseud_SF42_IMS_10_10_20V_25Aug20","raw20619","target",0.988394857484241,0.0350000000000001,0.0175000000000001,0.0294392028877595,0.08,39.4097280714631,0.900000000000001,0.989732675594384,20619,103830,371.97479,16218,4
"raw20619.Apseud_SF42_IMS_11_11_20V_25Aug20","raw20619","target",0.998812990205686,0.111310376874755,0.0650000000000001,0.0287518115371304,0.0666666666666667,35.9128064437558,0.116666666666667,0.978456038706211,20619,97485,371.97479,24633,6
"raw20619.Apseud_SF42_IMS_12_12_20V_25Aug20","raw20619","target",0.998944510174032,0.0449073119510251,0.0183333333333334,0.0167332005306815,0.01,29.674551386668,1.15,0.995588442995743,20619,121430,371.97479,20497,6
"raw20619.Apseud_SF42_IMS_13_13_20V_25Aug20","raw20619","target",0.997341647288553,0,0,0.0173205080756888,0.055,35.9094578999275,0.625000000000001,0.992085507713367,20619,95975,371.97479,18366,4
"raw20619.Apseud_SF42_IMS_14_14_20V_25Aug20","raw20619","target",0.998072108144105,0.058878405775519,0.00666666666666667,0.0268328157299975,0.02,34.201442464707,-2.63333333333333,0.994445377122794,20619,73167,371.97479,19713,6
"raw20619.Apseud_SF42_IMS_15_15_20V_25Aug20","raw20619","target",0.997961015576939,0.039327683210007,-0.00666666666666667,0.0309838667696593,0.03,25.6314975502148,6.91666666666667,0.997156660809003,20619,78216,371.97479,15431,6
"raw20619.Apseud_SF42_IMS_16_16_20V_25Aug20","raw20619","target",0.987635457028159,0.0705454935957407,-0.0116666666666667,0.0318852107828483,0.0383333333333333,39.0599411161871,-5.65,0.990926663737564,20619,138094,371.97479,28195,6
"raw20619.TEST_Aniger_SF42_IMS_16_32_20V_24Aug20","raw20619","target",0.872031333392927,0.0546504040851179,-0.0266666666666667,0.0258843582110896,0.025,18.4359883561112,5.08333333333333,0.996264374957651,20619,136820,371.97479,32234,6
"raw20621.Aniger_SF42_IMS_01_17_20V_25Aug20","raw20621","target",0.99927932661294,0.0611010092660779,0.0133333333333333,0.01,0.02,10.9317580165925,6.96666666666667,0.998123324366956,20621,38981,371.97479,28337,3
"raw20676.Aniger_SF53_IMS_27_43_20V_25Aug20","raw20676","target",0.999820552054527,0.19157244060668,-0.0899999999999999,0.0152752523165195,-0.0266666666666667,5.73962832710737,-0.133333333333334,0.736163635188117,20676,86070,372.86368,35346,3
"raw20684.Aniger_SF42_IMS_09_25_20V_25Aug20","raw20684","target",0.999732272107028,0.0461880215351701,-0.0133333333333333,0.0577350269189626,0.203333333333333,2.91433239925259,2.56666666666667,0.998498213646266,20684,57932,372.86368,14016,3
"raw20684.Aniger_SF42_IMS_10_26_20V_25Aug20","raw20684","target",0.996107161596586,0.19157244060668,0.13,0.13,0.1,0.945163125250522,5.63333333333333,0.978409546034088,20684,161211,372.86368,24750,3
"raw20684.Apseud_SF42_IMS_02_02_20V_25Aug20","raw20684","target",0.997560552791733,0.0832666399786454,0.0133333333333333,0.0862167810425171,0.136666666666667,14.3081561821687,11.5333333333333,0.998941151020571,20684,88167,372.86368,29815,3
"raw21641.Apseud_SF42_IMS_01_01_20V_25Aug20","raw21641","target",0.999480221661317,0.0230940107675851,-0.0133333333333333,0.0264575131106459,0.09,2.55408170059874,8.56666666666667,0.998283774116137,21641,114654,391.19135,30.4364351245085,3
